esp32_id,ts,temp,hum
,2026-04-27 11:13:33,21.6,56.9
,2026-04-27 11:13:38,21.6,56.8
,2026-04-27 11:13:44,21.6,56.7
,2026-04-27 11:13:49,21.6,56.7
,2026-04-27 11:13:55,21.6,56.8
,2026-04-27 11:14:01,21.6,56.9
,2026-04-27 11:14:06,21.6,56.8
,2026-04-27 11:14:12,21.6,56.8
,2026-04-27 11:14:17,21.6,56.9
,2026-04-27 11:14:23,21.6,56.9
,2026-04-27 11:14:28,21.6,57.0
,2026-04-27 11:14:34,21.6,56.9
,2026-04-27 11:14:39,21.5,57.1
,2026-04-27 11:14:45,21.6,57.1
,2026-04-27 11:14:50,21.6,57.1
,2026-04-27 11:14:56,21.6,57.2
,2026-04-27 11:15:02,21.5,57.1
,2026-04-27 11:15:08,21.6,57.2
,2026-04-27 11:15:14,21.5,57.3
,2026-04-27 11:15:19,21.5,57.2
,2026-04-27 11:15:25,21.5,57.2
,2026-04-27 11:15:31,21.5,57.1
,2026-04-27 11:15:37,21.5,57.1
,2026-04-27 11:15:42,21.5,57.1
,2026-04-27 11:15:49,21.5,57.1
,2026-04-27 11:15:55,21.5,57.2
,2026-04-27 11:16:00,21.5,57.2
,2026-04-27 11:16:06,21.5,57.3
,2026-04-27 11:16:11,21.5,57.2
,2026-04-27 11:16:17,21.5,57.3
,2026-04-27 11:16:23,21.5,57.4
,2026-04-27 11:16:28,21.5,57.4
,2026-04-27 11:16:34,21.5,57.4
,2026-04-27 11:16:40,21.5,57.5
,2026-04-27 11:16:45,21.5,57.6
,2026-04-27 11:16:51,21.5,57.6
,2026-04-27 11:16:57,21.5,57.6
,2026-04-27 11:17:02,21.5,57.7
,2026-04-27 11:17:08,21.5,57.7
,2026-04-27 11:17:14,21.5,57.8
,2026-04-27 11:17:19,21.5,57.7
,2026-04-27 11:17:25,21.5,57.8
,2026-04-27 11:17:30,21.5,57.8
,2026-04-27 11:17:36,21.5,57.9
,2026-04-27 11:17:41,21.5,57.8
,2026-04-27 11:17:47,21.5,57.8
,2026-04-27 11:17:53,21.5,57.9
,2026-04-27 11:17:58,21.5,57.8
